from,name,distance,azimuth,inclination,left,right,up,down,note
1,2,15.7,193/13,2.5/-4,2,3,0,2,
2,3,7.5,193/15,10/-12,2.3,4.4,0,0.8,
3,4,11.1,180,6.9,,,,,terminal
2,5,7.2,244/62,-10.1/10,,,,,repeat
5,6,8.2,354/177,-47,3,3,0,3,
6,7,10.5,142,12.5,2.4,0,2.8,1.5/7,
6,8,4.4,38/218,-41,,,,,repeat
8,9,14.7,184/3,-37.5,0,2,5.3,0/4,
9,10,3.9,250/73,-36,2.6/11,7,0/3.3,1.4/2,
10,11,8.5,182,-32.5,1.5,0/4,3/5,1,
9,12,10.4,54/232,-1.2,,,,,repeat
12,13,7.8,108/290,-45,0/2,2,0.5,0/0.5,
13,14,11.9,168,-1.2,2,0.5,2,0/0.5,
14,15,5.8,131/311,42,1/2.5,2,3,0.3,
15,16,8.1,107,27.1,3.1,13.5,0,1.7,
16,17,7,89,29.3,1,0.8,0/.4,1,Terminal
16,18,6.7,144,12.3,,,,,repeat
18,20,4.4,233,0,,,,,suspicious - redo?
18,19,4.4,52,5,4.4,2.5,0.7,0.6,
20,21,7.5,113,23.7,7.5,0,1,0.5,
15,22,8.5,219/29,18.1,,,,,repeat
22,23,10.1,178,6.5,2/5,0,2,4,terminal
22,24,11.7,279,-35.7,,,,,terminal
15,25,11.9,168,13.6,,,,,terminal